,first150,fname,match
2746,"JULY 10, 2002 -1- FINAL DECISION AND ORDER 02-134 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW HAVEN BOARD OF EDUCATION APPEARING ON BE",02_134.pdf.txt,NEW HAVEN
1892,"JUNE 26, 2002 -1- FINAL DECISION AND ORDER 02-137 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEWTOWN BOARD OF EDUCATION APPEARING ON BEHA",02_137.pdf.txt,NEWTOWN
206,"OCTOBER 29, 2002 -1- FINAL DECISION AND ORDER 02-138 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ON",02_138.pdf.txt,GREENWICH
553,"AUGUST 21, 2002 -1- FINAL DECISION AND ORDER 02-152 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. EAST GRANBY BOARD OF EDUCATION APPEARING O",02_152.pdf.txt,EAST GRANBY
1747,"MARCH 4, 2003 -1- FINAL DECISION AND ORDER 02-154 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ON BE",02_154.pdf.txt,GREENWICH
2222,"SEPTEMBER 16, 2002 -1- FINAL DECISION AND ORDER 02-157 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEWTOWN BOARD OF EDUCATION APPEARING ON",02_157.pdf.txt,NEWTOWN
1342,"AUGUST 12, 2002 -1- FINAL DECISION AND ORDER 02-177 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT. V. WATERBURY BOARD OF EDUCATION APPEARING ON",02_177.pdf.txt,WATERBURY
2397,"JANUARY 22, 2003 -1- FINAL DECISION AND ORDER 02-185 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. AVON BOARD OF EDUCATION APPEARING ON BEHA",02_185.pdf.txt,AVON
589,"JUNE 6, 2003 -1- FINAL DECISION AND ORDER 02-189 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STAMFORD BOARD OF EDUCATION APPEARING ON BEHA",02_189.pdf.txt,STAMFORD
216,"SEPTEMBER 23, 2002 -1- FINAL DECISION AND ORDER 02-191 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. SUFFIELD BOARD OF EDUCATION APPEARING O",02_191.pdf.txt,SUFFIELD
772,"AUGUST 20, 2002 -1- FINAL DECISION AND ORDER 02-192 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. PLAINVILLE BOARD OF EDUCATION APPEARING ON",02_192.pdf.txt,PLAINVILLE
